"simulation","winners","second_places","third_places","fourth_places"
638,"Italy","Brazil","Denmark","Argentina"
639,"Belgium","Spain","Portugal","Colombia"
640,"France","Mexico","Belgium","Argentina"
641,"Belgium","England","France","Portugal"
642,"Brazil","Portugal","Switzerland","France"
643,"Portugal","Belgium","Brazil","Wales"
644,"Belgium","Italy","Netherlands","Colombia"
645,"Brazil","Uruguay","Portugal","Australia"
646,"Uruguay","France","Brazil","Germany"
647,"Belgium","Argentina","Poland","Mexico"
648,"France","Uruguay","Denmark","Korea Republic"
649,"Germany","Spain","Argentina","Wales"
650,"France","Uruguay","Brazil","Portugal"
651,"Portugal","France","Italy","Netherlands"
652,"Uruguay","Germany","Brazil","Netherlands"
653,"Spain","Italy","Brazil","France"
654,"Brazil","Belgium","England","Jamaica"
655,"England","United States","Denmark","Italy"
656,"France","Uruguay","Korea Republic","Mexico"
657,"Brazil","Belgium","Portugal","Croatia"
658,"Italy","Belgium","Germany","Algeria"
659,"France","Belgium","Argentina","Senegal"
660,"Brazil","Portugal","Poland","Japan"
661,"Germany","Portugal","Brazil","Italy"
662,"Brazil","Chile","Switzerland","United States"
663,"Mexico","Colombia","Belgium","Poland"
664,"Belgium","Mexico","Brazil","Denmark"
665,"France","Croatia","Qatar","Jamaica"
666,"Brazil","Netherlands","Belgium","Portugal"
667,"Netherlands","Brazil","Italy","Argentina"
668,"France","Netherlands","Argentina","Portugal"
669,"Brazil","Argentina","Belgium","Japan"
670,"Argentina","Senegal","Germany","Belgium"
671,"Portugal","France","Switzerland","Belgium"
672,"England","Spain","Brazil","Morocco"
673,"Germany","Italy","France","Switzerland"
674,"Argentina","Spain","Wales","Colombia"
675,"Germany","England","Netherlands","Wales"
676,"Brazil","Uruguay","England","Italy"
677,"Belgium","Spain","Portugal","Germany"
678,"Brazil","Netherlands","Belgium","Croatia"
679,"Brazil","Uruguay","Switzerland","France"
680,"Portugal","Belgium","Brazil","Japan"
681,"Uruguay","Portugal","England","Brazil"
682,"Brazil","France","Netherlands","Iran"
683,"Belgium","France","Brazil","Wales"
684,"France","Belgium","Iran","Germany"
685,"Mexico","Belgium","France","Croatia"
686,"Mexico","Germany","Belgium","Italy"
687,"Italy","Argentina","Belgium","Netherlands"
688,"Denmark","Colombia","Belgium","Spain"
689,"Brazil","France","Portugal","Iran"
690,"Spain","Portugal","Brazil","Qatar"
691,"Portugal","Brazil","Spain","Mexico"
692,"Spain","Netherlands","Portugal","Denmark"
693,"Brazil","Korea Republic","Argentina","Qatar"
694,"Brazil","Germany","Belgium","Argentina"
695,"Spain","Denmark","France","Croatia"
696,"Brazil","Uruguay","Argentina","Iran"
697,"Portugal","France","Brazil","England"
698,"Uruguay","France","Mexico","Portugal"
699,"Belgium","United States","Colombia","Switzerland"
700,"Argentina","Spain","Italy","Uruguay"
701,"Belgium","France","England","Brazil"
702,"Brazil","Netherlands","Spain","Algeria"
703,"Belgium","Spain","Brazil","Germany"
704,"Belgium","Switzerland","France","England"
705,"Portugal","France","Poland","Denmark"
706,"Argentina","France","Mexico","Brazil"
707,"France","Brazil","Spain","Iran"
708,"Colombia","Spain","Belgium","Uruguay"
709,"Spain","Germany","France","Tunisia"
710,"France","Portugal","Denmark","England"
711,"Belgium","Croatia","Uruguay","Germany"
712,"Uruguay","Belgium","Mexico","Qatar"
713,"Belgium","England","Argentina","Brazil"
714,"Portugal","Brazil","England","Italy"
715,"Belgium","Uruguay","Italy","England"
716,"France","Brazil","Italy","Portugal"
717,"Chile","France","England","Croatia"
718,"England","Senegal","Portugal","Italy"
719,"Spain","England","Portugal","Denmark"
720,"Belgium","Portugal","Algeria","Switzerland"
721,"Japan","United States","Portugal","France"
722,"England","Portugal","Mexico","Belgium"
723,"Belgium","Netherlands","Chile","Argentina"
724,"Netherlands","Portugal","Italy","Colombia"
725,"Italy","Chile","Portugal","Brazil"
726,"Brazil","Argentina","Spain","Croatia"
727,"Switzerland","Netherlands","Belgium","Wales"
728,"France","Belgium","Argentina","Spain"
729,"Spain","Belgium","France","Italy"
730,"Brazil","Netherlands","Spain","Mexico"
731,"France","Spain","Belgium","Italy"
732,"Brazil","Uruguay","Belgium","Japan"
733,"Argentina","Portugal","France","Denmark"
734,"England","Mexico","France","Italy"
735,"France","Switzerland","Belgium","Algeria"
736,"Portugal","France","Italy","Belgium"
737,"France","Netherlands","Denmark","Spain"
738,"Netherlands","Colombia","France","Uruguay"
739,"Netherlands","England","Wales","Korea Republic"
740,"France","Belgium","Uruguay","England"
741,"Uruguay","Nigeria","Belgium","Mexico"
742,"Spain","Belgium","Italy","France"
743,"France","Italy","Germany","United States"
744,"Brazil","France","Algeria","Spain"
745,"Belgium","England","Switzerland","Mexico"
746,"Portugal","Spain","Morocco","Netherlands"
747,"France","Belgium","Colombia","England"
748,"Italy","France","Brazil","Wales"
749,"Mexico","Germany","Italy","Belgium"
750,"England","Switzerland","Japan","Brazil"
751,"Italy","Germany","Belgium","Mexico"
752,"Brazil","Switzerland","Italy","Jamaica"
753,"Brazil","Wales","France","Belgium"
754,"France","Netherlands","Argentina","Poland"
755,"Brazil","Portugal","France","Wales"
756,"Brazil","Germany","Netherlands","Croatia"
757,"Brazil","Belgium","Spain","Netherlands"
758,"Mexico","Brazil","Portugal","Croatia"
759,"Brazil","Belgium","Italy","Spain"
760,"Brazil","Portugal","Argentina","Belgium"
761,"Belgium","Portugal","France","Brazil"
762,"France","Mexico","England","Colombia"
763,"Brazil","Uruguay","Argentina","Germany"
764,"Brazil","Mexico","Italy","Belgium"
765,"Brazil","Germany","France","Netherlands"
766,"Argentina","Spain","Belgium","Brazil"
767,"Netherlands","Brazil","France","Iran"
768,"Brazil","Netherlands","Uruguay","Colombia"
769,"Belgium","Denmark","Iran","Croatia"
770,"France","Portugal","Poland","Nigeria"
771,"Brazil","Netherlands","Spain","Croatia"
772,"Spain","Chile","Portugal","Belgium"
773,"Spain","Denmark","Brazil","Uruguay"
774,"Germany","Brazil","Chile","Denmark"
775,"France","Belgium","Netherlands","Chile"
776,"Italy","Germany","Denmark","Wales"
777,"Italy","Belgium","Netherlands","Germany"
778,"Belgium","Denmark","Colombia","Mexico"
779,"France","Brazil","Belgium","Iran"
780,"France","Germany","Italy","Morocco"
781,"Portugal","Belgium","Mexico","Japan"
782,"Netherlands","France","Switzerland","United States"
783,"Spain","Italy","Uruguay","Colombia"
784,"Netherlands","Korea Republic","Brazil","Algeria"
785,"Argentina","Netherlands","Brazil","Germany"
786,"Spain","Portugal","Argentina","Croatia"
787,"Italy","Germany","Brazil","France"
788,"Brazil","Netherlands","Germany","Japan"
789,"Netherlands","Argentina","Mexico","Japan"
790,"Brazil","Argentina","Uruguay","Iran"
791,"France","Brazil","Croatia","England"
792,"Mexico","Belgium","Portugal","Iran"
793,"France","Brazil","England","Belgium"
794,"Spain","France","Belgium","Argentina"
795,"Argentina","Japan","France","Wales"
796,"Brazil","Korea Republic","Italy","France"
797,"France","Italy","Spain","Brazil"
798,"Germany","Brazil","Argentina","Netherlands"
799,"Belgium","Uruguay","Brazil","Croatia"
800,"Argentina","Korea Republic","Germany","Denmark"
801,"Japan","France","Argentina","Brazil"
802,"Netherlands","Spain","Croatia","Germany"
803,"Argentina","Brazil","Belgium","Portugal"
804,"Spain","France","Colombia","England"
805,"Colombia","Iran","Portugal","Netherlands"
806,"Uruguay","Belgium","Brazil","France"
807,"Brazil","Mexico","Netherlands","Uruguay"
808,"Denmark","Colombia","Germany","Belgium"
809,"Spain","Portugal","Italy","Switzerland"
810,"Netherlands","Belgium","England","Germany"
811,"France","Colombia","Italy","Chile"
812,"Spain","Croatia","Iran","Nigeria"
813,"Switzerland","Brazil","France","Croatia"
814,"Croatia","Brazil","Portugal","Chile"
815,"Portugal","Brazil","Switzerland","Algeria"
816,"Argentina","Spain","England","Belgium"
817,"Portugal","France","Croatia","Mexico"
818,"England","Italy","France","Denmark"
819,"Japan","Brazil","Germany","Mexico"
820,"Germany","Spain","Switzerland","Portugal"
821,"Portugal","Uruguay","Spain","Australia"
822,"Belgium","France","Uruguay","Brazil"
823,"Spain","Mexico","Argentina","Wales"
824,"Argentina","England","Mexico","Italy"
825,"Mexico","Argentina","France","Australia"
826,"Netherlands","Colombia","England","Poland"
827,"England","Denmark","Uruguay","Brazil"
828,"France","Spain","Germany","Morocco"
829,"Argentina","Iran","Spain","Nigeria"
830,"Spain","England","Portugal","Morocco"
831,"Argentina","Uruguay","Spain","Brazil"
832,"Portugal","Brazil","Mexico","Argentina"
833,"Brazil","Spain","Belgium","Colombia"
834,"Brazil","Poland","Netherlands","Colombia"
835,"Germany","Netherlands","Spain","Colombia"
836,"Portugal","Colombia","Denmark","Japan"
837,"Colombia","Wales","Italy","Mexico"
838,"France","Mexico","Uruguay","Belgium"
839,"Portugal","Netherlands","Denmark","Colombia"
840,"Spain","Italy","Mexico","Argentina"
841,"Italy","Portugal","Germany","Croatia"
842,"Brazil","Senegal","Netherlands","Italy"
843,"Brazil","Belgium","Italy","Spain"
844,"Mexico","Germany","Argentina","Denmark"
845,"France","Brazil","Australia","Uruguay"
846,"Netherlands","Iran","Mexico","Portugal"
847,"Brazil","Chile","Spain","United States"
848,"Brazil","Portugal","Germany","Italy"
849,"Spain","Argentina","Belgium","Switzerland"
850,"Italy","France","Portugal","Wales"
851,"Brazil","Argentina","Portugal","France"
852,"Denmark","Italy","France","Brazil"
853,"Belgium","Netherlands","Italy","Switzerland"
854,"Mexico","France","Belgium","Switzerland"
855,"France","England","Colombia","Croatia"
856,"Spain","Belgium","Brazil","Croatia"
857,"Spain","Netherlands","Belgium","Denmark"
858,"France","Colombia","Brazil","Germany"
859,"Belgium","Spain","Switzerland","Uruguay"
860,"France","Netherlands","Croatia","Spain"
861,"Colombia","Argentina","Portugal","Italy"
862,"Brazil","Belgium","France","Colombia"
863,"Portugal","Mexico","Belgium","England"
864,"Mexico","Spain","Switzerland","Brazil"
865,"Italy","Belgium","Brazil","Argentina"
866,"Uruguay","Brazil","Colombia","Argentina"
867,"Brazil","Denmark","Argentina","France"
868,"Brazil","Wales","Portugal","Italy"
869,"Portugal","Algeria","England","Denmark"
870,"Brazil","France","Switzerland","Chile"
871,"Brazil","Croatia","Belgium","Germany"
872,"Colombia","Spain","Netherlands","France"
873,"France","Spain","England","Brazil"
874,"Italy","Brazil","Germany","Mexico"
875,"France","Uruguay","Netherlands","Algeria"
876,"England","Colombia","Denmark","Brazil"
877,"Netherlands","Mexico","Argentina","Belgium"
878,"France","Netherlands","Spain","Chile"
879,"France","Belgium","Netherlands","Argentina"
880,"England","Portugal","Uruguay","Netherlands"
881,"Germany","Argentina","United States","Japan"
882,"Denmark","Brazil","Portugal","Germany"
883,"Netherlands","Brazil","Italy","Portugal"
884,"Uruguay","Belgium","Colombia","Argentina"
885,"Italy","Uruguay","Brazil","Portugal"
886,"Croatia","Uruguay","Belgium","Argentina"
887,"England","Mexico","France","Belgium"
888,"Mexico","Croatia","Belgium","Denmark"
889,"Netherlands","Spain","Portugal","Australia"
890,"Mexico","Spain","England","Germany"
891,"Italy","England","Argentina","France"
892,"Germany","Portugal","Denmark","Belgium"
893,"Netherlands","France","England","Italy"
894,"England","Uruguay","France","Spain"
895,"France","Belgium","Netherlands","Denmark"
896,"Argentina","Spain","Belgium","Portugal"
897,"Brazil","Belgium","Netherlands","Mexico"
898,"Uruguay","Germany","Switzerland","England"
899,"Italy","Brazil","Wales","Belgium"
900,"Senegal","England","Portugal","France"
901,"France","Uruguay","Spain","Belgium"
902,"Portugal","Italy","Nigeria","Croatia"
903,"France","Argentina","Portugal","England"
904,"France","Nigeria","Iran","Wales"
905,"Belgium","Germany","Spain","Netherlands"
906,"Argentina","France","Spain","Denmark"
907,"Colombia","Spain","Brazil","Iran"
908,"Portugal","Netherlands","France","Brazil"
909,"Belgium","Spain","Colombia","Mexico"
910,"Denmark","Brazil","Argentina","Wales"
911,"Brazil","Qatar","Denmark","England"
912,"Netherlands","France","Morocco","Senegal"
913,"Brazil","Belgium","Uruguay","Argentina"
914,"Portugal","Colombia","Switzerland","Denmark"
915,"France","Italy","Brazil","Belgium"
916,"Iran","Brazil","Colombia","Senegal"
917,"Brazil","Germany","Italy","Colombia"
918,"England","France","Brazil","Belgium"
919,"England","Spain","Italy","Portugal"
920,"Croatia","Brazil","France","Italy"
921,"Belgium","Italy","Australia","Chile"
922,"Portugal","Spain","Croatia","Poland"
923,"Iran","Chile","Brazil","Switzerland"
924,"Argentina","Mexico","Spain","Denmark"
925,"Netherlands","Spain","Croatia","Chile"
926,"Argentina","England","Italy","Poland"
927,"Belgium","Brazil","Uruguay","France"
928,"Netherlands","Portugal","Spain","Iran"
929,"Belgium","Italy","Uruguay","Spain"
930,"Brazil","Argentina","Chile","Spain"
931,"England","France","Italy","Croatia"
932,"Brazil","Germany","Switzerland","Spain"
933,"England","France","Italy","Portugal"
934,"Belgium","Brazil","France","Japan"
935,"Brazil","England","France","Korea Republic"
936,"Portugal","Uruguay","Brazil","Spain"
937,"Brazil","Belgium","Uruguay","Netherlands"
938,"Uruguay","Portugal","Netherlands","Spain"
939,"Brazil","Netherlands","Spain","Belgium"
940,"Argentina","Croatia","France","Chile"
941,"Belgium","England","Italy","Argentina"
942,"France","Mexico","Belgium","Switzerland"
943,"Denmark","Spain","England","Mexico"
944,"Croatia","Germany","France","Australia"
945,"Uruguay","Portugal","Denmark","Netherlands"
946,"Netherlands","Portugal","Spain","Italy"
947,"Belgium","Italy","Germany","Spain"
948,"Portugal","Argentina","Mexico","Spain"
949,"Belgium","England","Portugal","Italy"
950,"Mexico","Denmark","Belgium","Chile"
951,"Spain","Croatia","England","France"
952,"Brazil","Italy","Portugal","France"
953,"Netherlands","Brazil","France","Germany"
954,"Italy","Belgium","Wales","Switzerland"
955,"Uruguay","England","Switzerland","Germany"
956,"Italy","France","Japan","Spain"
957,"Portugal","Netherlands","Brazil","Mexico"
958,"Brazil","Spain","Chile","Belgium"
959,"France","Uruguay","Argentina","Denmark"
960,"Portugal","Korea Republic","Brazil","Poland"
961,"France","Denmark","Brazil","Spain"
962,"Brazil","Colombia","England","Portugal"
963,"Denmark","Argentina","Brazil","Uruguay"
964,"Colombia","Germany","Netherlands","Italy"
965,"Belgium","England","Netherlands","France"
966,"Mexico","Portugal","Croatia","Chile"
967,"Spain","Mexico","Brazil","Germany"
968,"France","Italy","Belgium","Germany"
969,"Belgium","Denmark","Netherlands","Mexico"
970,"Brazil","Argentina","Mexico","England"
971,"Italy","Portugal","Brazil","Iran"
972,"Italy","Croatia","Brazil","Germany"
973,"Uruguay","Belgium","Spain","Portugal"
974,"Colombia","Portugal","Germany","Qatar"
975,"Belgium","Iran","Australia","Wales"
976,"Brazil","Japan","France","Portugal"
977,"Netherlands","France","England","Italy"
978,"Netherlands","Uruguay","Portugal","Germany"
979,"Denmark","Belgium","Brazil","Colombia"
980,"Spain","Uruguay","Netherlands","Portugal"
981,"Portugal","Switzerland","Iran","Mexico"
982,"England","Portugal","Brazil","Argentina"
983,"Belgium","Brazil","Switzerland","Croatia"
984,"Netherlands","Argentina","Brazil","Korea Republic"
985,"Netherlands","Uruguay","Algeria","Brazil"
986,"Brazil","Spain","France","Colombia"
987,"Portugal","Italy","Belgium","England"
988,"Argentina","Brazil","Germany","Senegal"
989,"France","Spain","Australia","Croatia"
990,"Portugal","Japan","Chile","Italy"
991,"France","Brazil","Italy","Spain"
992,"Portugal","Belgium","Argentina","Spain"
993,"Brazil","Spain","Netherlands","Denmark"
994,"Brazil","Switzerland","Germany","Portugal"
995,"Uruguay","Portugal","Nigeria","Netherlands"
996,"Australia","France","Mexico","Argentina"
997,"Korea Republic","Belgium","France","England"
998,"Brazil","Italy","Argentina","Croatia"
999,"Spain","Argentina","England","Portugal"
1000,"Netherlands","Switzerland","France","Iran"
